TYPE,STATION_NAME,BODY_LEVEL,SAMPLE_DATE,PERIOD,TIME,STATION_ID,CHL_a,CHL_a NetCDF (μg/L),albedo_01,albedo_02,albedo_03,albedo_04,2km_albedo_01,2km_albedo_02,2km_albedo_03,2km_albedo_04
基隆沿海海域,基隆港一,乙,3/9/2020,上午,0:00:00,5123,0.5,none,0.09449999800000000000,0.07609999900000000000,0.04659999900000000000,0.05739999900000000000,0.09449999779462810000,0.07609999924898140000,0.04659999907016750000,0.05739999935030930000
基隆沿海海域,基隆港二,乙,3/9/2020,上午,0:00:00,5124,0.5,none,0.09449999800000000000,0.07609999900000000000,0.04659999900000000000,0.05739999900000000000,0.09449999779462810000,0.07609999924898140000,0.04659999907016750000,0.05739999935030930000
基隆沿海海域,基隆拋泥區一,乙,3/9/2020,上午,0:00:00,5125,0.5,1.288000107,0.09629999799999990000,0.07609999900000000000,0.03960000000000000000,0.02440000000000000000,0.09579999744892120000,0.07549999654293060000,0.03999999910593030000,0.02829999849200240000
基隆沿海海域,八斗子垃圾場,乙,3/9/2020,上午,0:00:00,5126,0.5,none,0.09479999499999990000,0.07469999800000000000,0.04079999799999990000,0.03729999800000000000,0.09479999542236320000,0.07469999790191650000,0.04079999774694440000,0.03729999810457220000
基隆沿海海域,和平島,乙,3/9/2020,上午,0:00:00,5127,0.3,none,0.09449999800000000000,0.07609999900000000000,0.04659999900000000000,0.05739999900000000000,0.09449999779462810000,0.07609999924898140000,0.04659999907016750000,0.05739999935030930000
基隆沿海海域,員山子分洪道出海口,乙,3/9/2020,上午,0:00:00,5929,0.5,1.228000045,0.09290000099999990000,0.07259999999999990000,0.03699999999999990000,0.02249999899999990000,0.09129999577999110000,0.07220000028610220000,0.04050000011920920000,0.04829999804496760000
臺北沿海海域(甲),核四預定地外海,甲,3/9/2020,上午,0:00:00,5128,0.5,5.252000332,0.10739999999999900000,0.08769999400000000000,0.05959999900000000000,0.04989999900000000000,0.09829999506473540000,0.07989999651908870000,0.04969999939203260000,0.06469999998807900000
臺北沿海海域(乙),濂洞溪外海,乙,3/9/2020,上午,0:00:00,5129,0.4,1.228000045,0.09290000099999990000,0.07259999999999990000,0.03699999999999990000,0.02249999899999990000,0.09059999883174890000,0.07180000096559520000,0.03959999978542320000,0.06729999929666510000
臺北沿海海域(乙),深澳發電廠外海,乙,3/9/2020,上午,0:00:00,5133,0.6,1.228000045,0.09290000099999990000,0.07259999999999990000,0.03699999999999990000,0.02249999899999990000,0.09290000051259990000,0.07259999960660930000,0.03700000047683710000,0.02249999903142450000
桃園沿海海域,深澳發電廠,乙,3/9/2020,上午,0:00:00,5136,0.5,1.228000045,0.09290000099999990000,0.07259999999999990000,0.03699999999999990000,0.02249999899999990000,0.09349999576807020000,0.07289999723434440000,0.03779999911785120000,0.02219999954104420000
