albedo_01,albedo_02,albedo_03,albedo_04,CHL_a
0.0,0.0003999999898951,0.0003999999898951,0.0,0.3
0.0002999999851454,0.0003999999898951,0.0001999999949475,0.0003999999898951,0.2
0.0,0.0002999999851454,0.0001999999949475,0.0002999999851454,0.7
9.99999974737e-05,0.0,0.0002999999851454,0.0005999999702908,0.3
0.0,0.0,0.0,0.0,0.6
9.99999974737e-05,0.0002999999851454,9.99999974737e-05,0.0,0.2
0.0,0.0,0.0002999999851454,9.99999974737e-05,0.1
0.0,0.0002999999851454,9.99999974737e-05,0.0,1.3
0.0005999999702908,0.0,0.0,9.99999974737e-05,2.3
0.0002999999851454,9.99999974737e-05,0.0,0.00089999998454,12.9
9.99999974737e-05,0.0,0.0,0.0003999999898951,10
0.02449999935925,0.0221999995410442,0.0193999987095594,0.0241999998688697,5.8
0.0,9.99999974737e-05,9.99999974737e-05,0.0,9.3
0.0,0.0002999999851454,0.0003999999898951,0.0002999999851454,5.8
0.0,0.0002999999851454,0.0,9.99999974737e-05,7.2
0.00179999996908,0.001300000003539,0.0015999999595806,0.0030999998562037,0.9
0.0,0.0,0.0002999999851454,0.0003999999898951,0.8
0.0,9.99999974737e-05,0.0,0.0,0.2
0.0016999999061226,0.001300000003539,0.0011999999405816,0.0010999999940395,0.3
9.99999974737e-05,0.0,0.0,0.00089999998454,0.4
0.0,0.0,0.0,9.99999974737e-05,0.9
0.0003999999898951,0.0,9.99999974737e-05,0.0006999999750405,0.4
0.0,0.0,0.0,0.0,0.2
0.0002999999851454,0.0,0.0006999999750405,0.00089999998454,0.9
0.0,0.0,9.99999974737e-05,0.0,1.5
0.0,0.0,0.0001999999949475,0.0,1.1
0.012699999846518,0.0096999993547797,0.0066999997943639,0.0069999997504055,1.5
0.0348999984562397,0.031199999153614,0.0276999995112419,0.031599998474121,1.5
0.0396999977529048,0.0350999981164932,0.0267999991774559,0.026300000026822,1.8
0.060199998319149,0.0528999976813793,0.0408999994397163,0.0395999997854232,1.5
0.0718000009655952,0.0621999986469745,0.0445999987423419,0.0363999977707862,1.7
0.135899990797042,0.124199993908405,0.105099998414516,0.102199994027614,1.2
0.12950000166893,0.115099996328353,0.088699996471405,0.0698999986052513,1.2
0.129799991846084,0.113399997353553,0.0905999988317489,0.067900002002716,1.8
0.0006999999750405,9.99999974737e-05,9.99999974737e-05,0.0,0.2
0.0016999999061226,0.00089999998454,0.00089999998454,0.0020999999251216,0.2
0.0002999999851454,0.0,0.0002999999851454,0.0003999999898951,0.3
